Gene	Cytoband	(A) Negative	(B) Positive	(A) Negative	(B) Positive	Log2 Ratio	p-Value	q-Value	Higher expression in
PPEF1	Xp22.13	1.76	2.37	1.28	1.04	-0.61	4.337e-6	1.277e-5	(B) Positive
ARMCX3	Xq22.1	0.71	1.01	0.61	0.61	-0.30	4.338e-6	1.277e-5	(B) Positive
TAT	16q22.2	0.33	0.68	0.57	1.07	-0.35	4.338e-6	1.277e-5	(B) Positive
ZNF615	19q13.41	0.95	1.29	0.70	0.65	-0.34	4.363e-6	1.284e-5	(B) Positive
GOLGA2P7	15q25.2	-0.31	-0.82	1.08	0.88	0.52	4.371e-6	1.286e-5	(A) Negative
ADAL	15q15.3	-1.14	-0.81	0.68	0.60	-0.33	4.400e-6	1.295e-5	(B) Positive
VSTM2A	7p11.2	0.32	0.76	0.66	1.44	-0.44	4.406e-6	1.296e-5	(B) Positive
DHDH	19q13.33	0.15	-0.47	1.31	0.99	0.62	4.442e-6	1.307e-5	(A) Negative
STXBP6	14q11.2	-1.66	-2.48	1.80	0.96	0.82	4.448e-6	1.308e-5	(A) Negative
ADPRHL1	13q34	0.66	1.10	0.89	0.83	-0.44	4.453e-6	1.309e-5	(B) Positive
DHX33	17p13.2	-0.69	-1.01	0.68	0.44	0.32	4.472e-6	1.315e-5	(A) Negative
PES1	22q12.2	-0.19	-0.42	0.45	0.48	0.23	4.487e-6	1.319e-5	(A) Negative
OR6X1	11q24.1	1.14	0.58	1.22	0.75	0.56	4.515e-6	1.327e-5	(A) Negative
RPS6KB1	17q23.1	-1.08	-0.79	0.58	0.66	-0.30	4.533e-6	1.332e-5	(B) Positive
KXD1	19p13.11	-0.24	-0.45	0.45	0.32	0.21	4.545e-6	1.335e-5	(A) Negative
FKBP14	7p14.3	-0.54	-0.87	0.65	0.73	0.33	4.549e-6	1.336e-5	(A) Negative
PIM2	Xp11.23	-1.29	-1.77	1.01	0.74	0.47	4.585e-6	1.346e-5	(A) Negative
CNOT2	12q15	0.23	0.45	0.45	0.39	-0.22	4.589e-6	1.347e-5	(B) Positive
ELAVL2	9p21.3	1.12	0.48	1.37	0.91	0.64	4.590e-6	1.348e-5	(A) Negative
TFEB	6p21.1	1.72	1.39	0.71	0.53	0.33	4.597e-6	1.349e-5	(A) Negative
IL6-AS1	7p15.3	0.26	0.08	0.35	0.38	0.18	4.600e-6	1.350e-5	(A) Negative
S100G	Xp22.2	0.13	0.73	1.03	1.76	-0.60	4.648e-6	1.364e-5	(B) Positive
STC1	8p21.2	-0.20	0.35	0.99	1.44	-0.54	4.656e-6	1.366e-5	(B) Positive
IGHMBP2	11q13.3	-0.77	-0.50	0.51	0.70	-0.27	4.684e-6	1.374e-5	(B) Positive
HOXB3	17q21.32	-0.07	0.58	1.33	1.22	-0.64	4.700e-6	1.378e-5	(B) Positive
DHX30	3p21.31	-0.49	-0.29	0.39	0.38	-0.19	4.715e-6	1.383e-5	(B) Positive
ERG	21q22.2	0.36	0.60	0.50	0.47	-0.24	4.745e-6	1.391e-5	(B) Positive
ZNF148	3q21.2	0.28	0.54	0.55	0.39	-0.26	4.760e-6	1.395e-5	(B) Positive
PIK3R4	3q22.1	0.03	0.26	0.48	0.38	-0.23	4.766e-6	1.397e-5	(B) Positive
RBM33	7q36.3	-0.22	-0.47	0.53	0.46	0.25	4.777e-6	1.400e-5	(A) Negative
SLC2A14	12p13.31	-0.96	-1.21	0.49	0.50	0.24	4.799e-6	1.406e-5	(A) Negative
TRMT61A	14q32.33	0.39	0.16	0.46	0.44	0.22	4.810e-6	1.409e-5	(A) Negative
MKX	10p12.1	-0.39	0.35	1.33	2.01	-0.74	4.844e-6	1.419e-5	(B) Positive
TAF6L	11q12.3	0.14	-0.08	0.44	0.40	0.21	4.864e-6	1.424e-5	(A) Negative
ASAP2	2p25.1	-0.10	-0.43	0.70	0.61	0.34	4.894e-6	1.433e-5	(A) Negative
CMTM5	14q11.2	0.61	0.05	1.25	0.56	0.56	4.898e-6	1.434e-5	(A) Negative
ARAF	Xp11.3	-0.38	-0.09	0.58	0.65	-0.29	4.963e-6	1.453e-5	(B) Positive
EMCN	4q24	3.97	4.37	0.82	0.83	-0.40	4.984e-6	1.458e-5	(B) Positive
FPGT	1p31.1	1.09	1.37	0.58	0.50	-0.28	4.997e-6	1.462e-5	(B) Positive
PCOLCE2	3q23	-2.61	-3.55	1.90	1.93	0.94	5.009e-6	1.465e-5	(A) Negative
NFIX	19p13.13	0.92	0.45	0.96	0.93	0.47	5.014e-6	1.466e-5	(A) Negative
IFT172	2p23.3	0.63	0.35	0.58	0.52	0.28	5.017e-6	1.467e-5	(A) Negative
STX6	1q25.3	1.06	0.72	0.72	0.55	0.34	5.019e-6	1.468e-5	(A) Negative
DEAF1	11p15.5	-0.15	0.09	0.47	0.48	-0.23	5.026e-6	1.469e-5	(B) Positive
LCE1A	1q21.3	0.92	0.70	0.45	0.47	0.22	5.031e-6	1.471e-5	(A) Negative
FAM210B	20q13.2	0.48	0.17	0.63	0.60	0.31	5.039e-6	1.473e-5	(A) Negative
MUL1	1p36.12	-0.16	0.07	0.47	0.48	-0.23	5.041e-6	1.473e-5	(B) Positive
SMPDL3B	1p35.3	1.42	0.99	0.85	0.92	0.43	5.044e-6	1.473e-5	(A) Negative
RSPH6A	19q13.3	0.41	0.25	0.33	0.28	0.16	5.060e-6	1.478e-5	(A) Negative
TMUB2	17q21.31	0.09	0.28	0.37	0.43	-0.19	5.064e-6	1.479e-5	(B) Positive
STX8	17p13.1	-0.11	0.11	0.46	0.45	-0.23	5.078e-6	1.483e-5	(B) Positive
PDCL2	4q12	-0.56	-1.02	0.99	0.62	0.45	5.096e-6	1.488e-5	(A) Negative
PRELID3A	18p11.21	-0.03	-0.49	0.97	0.77	0.46	5.104e-6	1.490e-5	(A) Negative
GRM4	6p21.31	0.30	0.57	0.48	0.74	-0.27	5.123e-6	1.495e-5	(B) Positive
EIF3D	22q12.3	0.19	-0.00	0.40	0.39	0.20	5.135e-6	1.498e-5	(A) Negative
APBB1	11p15.4	-0.06	0.23	0.57	0.62	-0.28	5.186e-6	1.513e-5	(B) Positive
SLC44A5	1p31.1	-0.10	0.52	1.26	1.34	-0.63	5.195e-6	1.515e-5	(B) Positive
INSL5	1p31.3	0.39	0.68	0.55	0.71	-0.29	5.199e-6	1.516e-5	(B) Positive
DHX36	3q25.2	-0.44	-0.71	0.58	0.38	0.27	5.200e-6	1.516e-5	(A) Negative
RAB3IP	12q15	0.17	0.58	0.85	0.79	-0.41	5.208e-6	1.518e-5	(B) Positive
EXOSC8	13q13.3	-1.23	-1.53	0.64	0.48	0.30	5.210e-6	1.519e-5	(A) Negative
APOBEC3C	22q13.1	-1.06	-1.45	0.82	0.73	0.39	5.217e-6	1.521e-5	(A) Negative
SERINC2	1p35.2	0.83	1.17	0.71	0.60	-0.34	5.233e-6	1.525e-5	(B) Positive
PMVK	1q21.3	0.77	1.02	0.52	0.51	-0.25	5.234e-6	1.525e-5	(B) Positive
ZBTB21	21q22.3	-0.03	-0.26	0.48	0.41	0.23	5.237e-6	1.525e-5	(A) Negative
ANKEF1	20p12.2	0.63	1.04	0.88	0.69	-0.41	5.241e-6	1.526e-5	(B) Positive
LIF	22q12.2	-0.53	-0.87	0.73	0.47	0.34	5.246e-6	1.528e-5	(A) Negative
YRDC	1p34.3	-0.30	-0.58	0.60	0.48	0.28	5.249e-6	1.528e-5	(A) Negative
NHEJ1	2q35	-0.26	-0.48	0.46	0.42	0.22	5.261e-6	1.531e-5	(A) Negative
XRCC4	5q14.2	-0.98	-0.72	0.54	0.51	-0.26	5.271e-6	1.534e-5	(B) Positive
PTPRZ1	7q31.32	-2.54	-3.38	1.82	1.24	0.84	5.280e-6	1.536e-5	(A) Negative
USP10	16q24.1	-0.53	-0.78	0.51	0.49	0.25	5.280e-6	1.536e-5	(A) Negative
PCMTD1	8q11.23	1.50	1.81	0.63	0.63	-0.31	5.283e-6	1.537e-5	(B) Positive
NIT1	1q23.3	0.28	0.46	0.38	0.38	-0.19	5.301e-6	1.542e-5	(B) Positive
TTC9B	19q13.2	0.20	0.43	0.45	0.56	-0.23	5.301e-6	1.542e-5	(B) Positive
PHACTR1	6p24.1	-1.91	-2.25	0.73	0.49	0.34	5.310e-6	1.544e-5	(A) Negative
SMAD9	13q13.3	-0.87	-1.28	0.84	0.76	0.41	5.328e-6	1.549e-5	(A) Negative
FRA10AC1	10q23.33	-0.13	0.12	0.53	0.41	-0.25	5.334e-6	1.550e-5	(B) Positive
PPFIA4	1q32.1	-2.80	-3.17	0.75	0.82	0.38	5.342e-6	1.552e-5	(A) Negative
ZNF491	19p13.2	-0.09	0.24	0.70	0.54	-0.33	5.361e-6	1.558e-5	(B) Positive
LRATD1	2p24.3	2.51	1.97	1.09	1.15	0.54	5.369e-6	1.560e-5	(A) Negative
POMGNT1	1p34.1	0.11	0.33	0.43	0.50	-0.22	5.371e-6	1.560e-5	(B) Positive
CPNE5	6p21.2	1.23	0.90	0.70	0.62	0.33	5.371e-6	1.560e-5	(A) Negative
LYRM4	6p25.1	-0.26	-0.51	0.54	0.39	0.25	5.378e-6	1.562e-5	(A) Negative
MOSPD1	Xq26.3	-0.33	-0.56	0.48	0.45	0.23	5.385e-6	1.563e-5	(A) Negative
FAIM2	12q13.12	0.22	0.43	0.34	0.62	-0.20	5.396e-6	1.566e-5	(B) Positive
TTC31	2p13.1	-0.41	-0.24	0.32	0.34	-0.16	5.402e-6	1.568e-5	(B) Positive
SLCO1A2	12p12.1	-1.29	-1.94	1.44	0.67	0.65	5.461e-6	1.585e-5	(A) Negative
PLAAT5	11q12.3	1.34	1.80	0.92	1.00	-0.46	5.486e-6	1.592e-5	(B) Positive
HEPH	Xq12	-0.36	-0.85	1.05	0.86	0.50	5.502e-6	1.596e-5	(A) Negative
DDX46	5q31.1	-0.61	-0.41	0.42	0.38	-0.20	5.551e-6	1.610e-5	(B) Positive
TENM3	4q34.3-q35.1	-1.27	-0.91	0.73	0.83	-0.37	5.559e-6	1.612e-5	(B) Positive
P3H2	3q28	-2.48	-3.03	1.20	0.73	0.55	5.571e-6	1.615e-5	(A) Negative
PSMA2	7p14.1	-0.50	-0.26	0.50	0.39	-0.23	5.581e-6	1.618e-5	(B) Positive
RWDD3	1p21.3	0.04	-0.20	0.52	0.47	0.25	5.612e-6	1.627e-5	(A) Negative
FXYD3	19q13.12	1.48	2.05	1.22	0.97	-0.58	5.637e-6	1.633e-5	(B) Positive
PRDM1	6q21	0.91	0.53	0.78	0.71	0.38	5.648e-6	1.636e-5	(A) Negative
TRIM59	3q25.33	0.27	-0.09	0.76	0.59	0.36	5.651e-6	1.637e-5	(A) Negative
PROZ	13q34	-1.54	-1.25	0.54	0.80	-0.29	5.651e-6	1.637e-5	(B) Positive
MAGEB4	Xp21.2	0.69	0.21	1.06	0.59	0.48	5.661e-6	1.639e-5	(A) Negative
CLDN9	16p13.3	0.30	0.13	0.37	0.24	0.17	5.665e-6	1.640e-5	(A) Negative
ZP4	1q43	0.43	-0.06	1.10	0.38	0.49	5.671e-6	1.642e-5	(A) Negative
PARP9	3q21.1	2.27	2.72	0.98	0.65	-0.45	5.690e-6	1.647e-5	(B) Positive
ABHD3	18q11.2	-0.71	-0.32	0.76	0.94	-0.39	5.695e-6	1.648e-5	(B) Positive
NBL1	1p36.13	0.51	0.94	0.87	0.88	-0.43	5.706e-6	1.651e-5	(B) Positive
LSM14A	19q13.11	0.59	0.33	0.56	0.36	0.26	5.711e-6	1.652e-5	(A) Negative
PFKL	21q22.3	-0.18	-0.45	0.54	0.57	0.27	5.720e-6	1.654e-5	(A) Negative
GAPVD1	9q33.3	0.01	0.24	0.48	0.41	-0.23	5.733e-6	1.658e-5	(B) Positive
CABP2	11q13.2	0.28	0.02	0.57	0.38	0.26	5.791e-6	1.674e-5	(A) Negative
ANKRD7	7q31.31	-0.96	-1.52	1.23	0.71	0.56	5.796e-6	1.675e-5	(A) Negative
KANK3	19p13.2	1.03	1.22	0.39	0.38	-0.19	5.797e-6	1.675e-5	(B) Positive
EFNB1	Xq13.1	0.37	0.04	0.69	0.62	0.33	5.802e-6	1.677e-5	(A) Negative
RUFY2	10q21.3	-0.02	0.20	0.45	0.45	-0.22	5.808e-6	1.678e-5	(B) Positive
TMEM33	4p13	0.21	0.44	0.48	0.39	-0.23	5.812e-6	1.679e-5	(B) Positive
TREML2	6p21.1	-0.04	-0.43	0.83	0.65	0.39	5.838e-6	1.686e-5	(A) Negative
IL1A	2q14.1	-1.86	-2.31	0.96	0.71	0.45	5.867e-6	1.694e-5	(A) Negative
SMYD3	1q44	-0.54	-0.12	0.86	0.87	-0.42	5.882e-6	1.698e-5	(B) Positive
MAP4K2	11q13.1	0.16	-0.12	0.58	0.52	0.28	5.882e-6	1.698e-5	(A) Negative
KRT14	17q21.2	0.64	-0.03	1.35	1.44	0.67	5.886e-6	1.699e-5	(A) Negative
EIF4E3	3p13	0.99	1.39	0.87	0.63	-0.40	5.907e-6	1.705e-5	(B) Positive
SH2D1B	1q23.3	-0.20	-0.65	0.95	0.77	0.45	5.926e-6	1.710e-5	(A) Negative
TM2D1	1p31.3	-0.17	0.11	0.58	0.58	-0.28	5.932e-6	1.711e-5	(B) Positive
RAPGEF4	2q31.1	0.39	0.79	0.81	0.86	-0.40	5.944e-6	1.714e-5	(B) Positive
MCFD2	2p21	-0.83	-1.07	0.52	0.41	0.24	5.948e-6	1.715e-5	(A) Negative
NGRN	15q26.1	0.30	0.57	0.59	0.49	-0.28	5.955e-6	1.717e-5	(B) Positive
LGR4	11p14.1	-0.15	-0.58	0.86	0.91	0.43	5.969e-6	1.721e-5	(A) Negative
NAV1	1q32.1	-0.32	0.06	0.80	0.72	-0.38	5.981e-6	1.724e-5	(B) Positive
FOXN4	12q24.11	-2.33	-1.70	1.13	1.78	-0.63	6.018e-6	1.735e-5	(B) Positive
EIF5A	17p13.1	-1.17	-1.47	0.61	0.64	0.30	6.029e-6	1.737e-5	(A) Negative
DET1	15q26.1	-0.15	0.14	0.61	0.56	-0.29	6.089e-6	1.754e-5	(B) Positive
IL18R1	2q12.1	1.59	1.13	0.97	0.84	0.46	6.097e-6	1.756e-5	(A) Negative
TRIM52	5q35.3	-1.26	-0.99	0.57	0.51	-0.27	6.102e-6	1.757e-5	(B) Positive
ESCO2	8p21.1	-1.49	-1.90	0.79	1.00	0.41	6.114e-6	1.761e-5	(A) Negative
MPST	22q12.3	0.32	0.11	0.45	0.39	0.21	6.130e-6	1.765e-5	(A) Negative
KAZALD1	10q24.31	-0.86	-0.35	1.01	1.19	-0.51	6.160e-6	1.773e-5	(B) Positive
CIDEC	3p25.3	0.34	0.69	0.66	0.87	-0.35	6.165e-6	1.775e-5	(B) Positive
F2R	5q13.3	-0.51	-0.05	0.95	0.87	-0.45	6.186e-6	1.780e-5	(B) Positive
CLDN5	22q11.21	3.10	3.40	0.62	0.52	-0.29	6.212e-6	1.787e-5	(B) Positive
TEF	22q13.2	0.45	0.70	0.52	0.49	-0.25	6.214e-6	1.788e-5	(B) Positive
SHLD2	10q23.2	-0.24	0.00	0.50	0.43	-0.24	6.218e-6	1.789e-5	(B) Positive
PYDC1	16p11.2	1.11	1.72	1.25	1.27	-0.61	6.224e-6	1.790e-5	(B) Positive
PSMC5	17q23.3	-0.57	-0.29	0.56	0.61	-0.28	6.227e-6	1.790e-5	(B) Positive
SFRP4	7p14.1	4.63	5.34	1.47	1.34	-0.70	6.256e-6	1.799e-5	(B) Positive
PTPRCAP	11q13.2	0.40	-0.06	0.98	0.81	0.46	6.270e-6	1.802e-5	(A) Negative
ALX1	12q21.31	-3.11	-3.59	1.09	0.58	0.49	6.277e-6	1.804e-5	(A) Negative
REXO4	9q34.2	-0.49	-0.72	0.50	0.41	0.24	6.281e-6	1.805e-5	(A) Negative
GALT	9p13.3	-0.17	-0.45	0.59	0.58	0.29	6.285e-6	1.806e-5	(A) Negative
ERICH6	3q25.1	0.09	0.31	0.46	0.45	-0.22	6.298e-6	1.809e-5	(B) Positive
EIF1	17q21.2	-0.42	-0.17	0.53	0.45	-0.25	6.320e-6	1.815e-5	(B) Positive
POGK	1q24.1	0.86	0.58	0.60	0.51	0.28	6.326e-6	1.817e-5	(A) Negative
TMEM199	17q11.2	0.46	0.74	0.57	0.54	-0.28	6.398e-6	1.837e-5	(B) Positive
PSMA5	1p13.3	-0.05	-0.25	0.42	0.40	0.20	6.450e-6	1.852e-5	(A) Negative
ZNF696	8q24.3	0.42	0.13	0.61	0.59	0.29	6.473e-6	1.858e-5	(A) Negative
ZMYND19	9q34.3	-0.28	-0.48	0.44	0.38	0.21	6.480e-6	1.859e-5	(A) Negative
COQ2	4q21.23	-0.26	-0.56	0.62	0.58	0.30	6.497e-6	1.864e-5	(A) Negative
OLFM1	9q34.3	-0.81	-0.26	1.16	1.00	-0.55	6.523e-6	1.871e-5	(B) Positive
CACNA1G	17q21.33	-0.16	0.02	0.36	0.43	-0.18	6.568e-6	1.884e-5	(B) Positive
LCN1	9q34.3	-0.13	-0.32	0.39	0.44	0.19	6.574e-6	1.885e-5	(A) Negative
OR11L1	1q44	0.63	0.50	0.28	0.27	0.13	6.589e-6	1.889e-5	(A) Negative
PEX26	22q11.21	0.44	0.24	0.41	0.34	0.19	6.625e-6	1.899e-5	(A) Negative
ACTN1	14q24.1	0.96	0.62	0.74	0.60	0.35	6.640e-6	1.903e-5	(A) Negative
TECPR1	7q21.3	-0.04	-0.31	0.57	0.52	0.27	6.682e-6	1.915e-5	(A) Negative
CCR1	3p21.31	0.10	-0.36	0.98	0.83	0.46	6.753e-6	1.935e-5	(A) Negative
CDK5RAP3	17q21.32	-0.72	-0.47	0.53	0.49	-0.25	6.779e-6	1.942e-5	(B) Positive
HAAO	2p21	0.47	0.20	0.56	0.52	0.27	6.810e-6	1.951e-5	(A) Negative
DCN	12q21.33	1.72	2.37	1.34	1.34	-0.65	6.819e-6	1.953e-5	(B) Positive
TXNRD2	22q11.21	-1.02	-0.80	0.42	0.56	-0.22	6.826e-6	1.954e-5	(B) Positive
MED15	22q11.21	-0.54	-0.71	0.33	0.40	0.17	6.853e-6	1.962e-5	(A) Negative
LILRA5	19q13.42	0.74	0.43	0.65	0.58	0.31	6.866e-6	1.965e-5	(A) Negative
PHF24	9p13.3	0.57	0.10	1.07	0.54	0.48	6.878e-6	1.969e-5	(A) Negative
LALBA	12q13.11	0.85	0.18	1.52	0.66	0.68	6.889e-6	1.971e-5	(A) Negative
AKAP12	6q25.1	-2.03	-1.53	1.04	1.01	-0.50	6.901e-6	1.974e-5	(B) Positive
HOXD1	2q31.1	-0.57	-0.02	1.16	1.03	-0.55	6.908e-6	1.976e-5	(B) Positive
FOXC2	16q24.1	0.34	0.04	0.64	0.56	0.30	6.937e-6	1.984e-5	(A) Negative
SFPQ	1p34.3	0.32	0.15	0.36	0.31	0.17	6.970e-6	1.993e-5	(A) Negative
NUP62CL	Xq22.3	-1.63	-1.02	1.26	1.18	-0.60	7.012e-6	2.005e-5	(B) Positive
TPP1	11p15.4	0.32	0.58	0.54	0.45	-0.25	7.035e-6	2.011e-5	(B) Positive
TECPR2	14q32.33	0.20	0.41	0.44	0.39	-0.21	7.062e-6	2.018e-5	(B) Positive
ASB6	9q34.11	-0.12	-0.34	0.45	0.41	0.22	7.082e-6	2.024e-5	(A) Negative
C1QTNF6	22q12.3	-0.17	0.19	0.75	0.72	-0.36	7.091e-6	2.026e-5	(B) Positive
FNDC11	20q13.33	-0.22	0.12	0.72	0.68	-0.34	7.133e-6	2.038e-5	(B) Positive
FAT2	5q33.1	0.94	0.35	1.20	1.22	0.58	7.137e-6	2.038e-5	(A) Negative
RBM3	Xp11.23	0.19	0.45	0.54	0.55	-0.26	7.186e-6	2.052e-5	(B) Positive
MAPK10	4q21.3	0.56	1.01	0.89	1.05	-0.45	7.189e-6	2.053e-5	(B) Positive
KATNB1	16q21	-0.58	-0.80	0.45	0.45	0.22	7.238e-6	2.066e-5	(A) Negative
MXRA8	1p36.33	2.20	2.72	1.10	0.95	-0.52	7.247e-6	2.068e-5	(B) Positive
COPZ2	17q21.32	-0.28	0.18	0.96	0.90	-0.46	7.266e-6	2.074e-5	(B) Positive
PARS2	1p32.3	0.35	0.12	0.49	0.42	0.23	7.295e-6	2.082e-5	(A) Negative
FRYL	4p11	-0.03	0.25	0.59	0.49	-0.28	7.305e-6	2.084e-5	(B) Positive
FBXW11	5q35.1	-0.73	-0.52	0.42	0.49	-0.21	7.334e-6	2.092e-5	(B) Positive
BVES	6q21	-0.38	-0.71	0.72	0.49	0.33	7.346e-6	2.095e-5	(A) Negative
RNF111	15q22.1-q22.2	-0.19	0.06	0.56	0.42	-0.26	7.402e-6	2.111e-5	(B) Positive
OSBPL5	11p15.4	1.13	1.46	0.70	0.56	-0.33	7.407e-6	2.112e-5	(B) Positive
PIAS3	1q21.1	0.22	0.44	0.45	0.47	-0.22	7.416e-6	2.114e-5	(B) Positive
ARK2N	18q21.1	0.60	0.38	0.45	0.41	0.21	7.419e-6	2.114e-5	(A) Negative
MYL6	12q13.2	0.69	0.94	0.56	0.38	-0.25	7.420e-6	2.114e-5	(B) Positive
ALG5	13q13.3	-0.06	0.23	0.62	0.52	-0.29	7.490e-6	2.134e-5	(B) Positive
ZYG11A	1p32.3	-0.52	-1.18	1.38	1.26	0.65	7.500e-6	2.137e-5	(A) Negative
RASSF8	12p12.1	-0.88	-0.51	0.76	0.82	-0.37	7.502e-6	2.137e-5	(B) Positive
TTC28	22q12.1	-0.63	-0.42	0.45	0.39	-0.21	7.510e-6	2.139e-5	(B) Positive
MRPL24	1q23.1	0.38	0.68	0.63	0.60	-0.30	7.516e-6	2.140e-5	(B) Positive
TATDN2	3p25.3	0.41	0.18	0.50	0.39	0.23	7.518e-6	2.140e-5	(A) Negative
SRGAP3	3p25.3	0.48	0.72	0.50	0.53	-0.24	7.526e-6	2.142e-5	(B) Positive
ZNF75A	16p13.3	0.23	0.52	0.55	0.70	-0.28	7.531e-6	2.143e-5	(B) Positive
GSAP	7q11.23	0.71	1.10	0.83	0.73	-0.39	7.531e-6	2.143e-5	(B) Positive
AP2A2	11p15.5	0.31	0.49	0.38	0.36	-0.18	7.560e-6	2.151e-5	(B) Positive
CDH4	20q13.33	-1.69	-2.26	1.30	0.69	0.58	7.575e-6	2.155e-5	(A) Negative
CEACAM1	19q13.2	0.90	0.25	1.41	1.10	0.65	7.627e-6	2.169e-5	(A) Negative
CMA1	14q12	0.47	0.83	0.73	0.83	-0.36	7.669e-6	2.181e-5	(B) Positive
SERPINB1	6p25.2	-0.28	0.12	0.88	0.57	-0.40	7.734e-6	2.199e-5	(B) Positive
PTPRG	3p14.2	-1.03	-0.64	0.80	0.79	-0.38	7.737e-6	2.199e-5	(B) Positive
SCARA3	8p21.1	-0.18	-0.72	1.18	0.82	0.54	7.742e-6	2.200e-5	(A) Negative
ANKRD12	18p11.22	0.16	0.42	0.56	0.48	-0.26	7.762e-6	2.206e-5	(B) Positive
CETN2	Xq28	0.59	0.85	0.54	0.41	-0.25	7.768e-6	2.207e-5	(B) Positive
NFKBID	19q13.12	0.03	-0.16	0.42	0.35	0.20	7.772e-6	2.208e-5	(A) Negative
CARMIL1	6p22.2	0.79	0.47	0.69	0.61	0.32	7.788e-6	2.212e-5	(A) Negative
SLAMF6	1q23.2-q23.3	0.63	0.25	0.81	0.72	0.38	7.794e-6	2.213e-5	(A) Negative
P3H1	1p34.2	-0.30	-0.58	0.58	0.60	0.28	7.819e-6	2.220e-5	(A) Negative
ZNF543	19q13.43	0.91	1.16	0.53	0.43	-0.25	7.844e-6	2.227e-5	(B) Positive
MMP20	11q22.2	0.76	0.18	1.27	0.80	0.57	7.845e-6	2.227e-5	(A) Negative
COL1A1	17q21.33	4.16	4.69	1.10	1.12	-0.53	7.852e-6	2.228e-5	(B) Positive
H2AC6	6p22.2	0.54	0.95	0.85	0.84	-0.41	7.875e-6	2.234e-5	(B) Positive
SH2D4A	8p21.3	-0.55	-0.02	1.03	1.33	-0.53	7.882e-6	2.236e-5	(B) Positive
CAPN11	6p21.1	0.04	0.32	0.53	0.73	-0.28	7.897e-6	2.240e-5	(B) Positive
PCDHB15	5q31.3	-0.13	-0.51	0.81	0.71	0.38	7.907e-6	2.243e-5	(A) Negative
RPS14	5q33.1	0.09	0.35	0.56	0.52	-0.26	7.928e-6	2.248e-5	(B) Positive
FLJ44635	Xq13.1	0.10	0.37	0.56	0.56	-0.27	7.929e-6	2.248e-5	(B) Positive
ABCD4	14q24.3	-0.64	-0.40	0.53	0.43	-0.24	7.976e-6	2.261e-5	(B) Positive
FAM107A	3p14.3-p14.2	1.81	1.12	1.52	0.88	0.68	7.981e-6	2.262e-5	(A) Negative
TM2D2	8p11.22	0.52	0.84	0.62	0.79	-0.31	7.981e-6	2.262e-5	(B) Positive
SGCB	4q12	-0.01	-0.41	0.84	0.76	0.40	7.987e-6	2.263e-5	(A) Negative
TXNIP	1q21.1	0.30	0.69	0.82	0.80	-0.39	7.998e-6	2.266e-5	(B) Positive
TKT	3p21.1	-1.16	-1.47	0.67	0.59	0.32	8.011e-6	2.269e-5	(A) Negative
ACVR2A	2q22.3-q23.1	0.78	0.47	0.64	0.60	0.31	8.017e-6	2.270e-5	(A) Negative
BTBD10	11p15.3	0.41	0.61	0.42	0.41	-0.20	8.043e-6	2.277e-5	(B) Positive
IL7	8q21.13	0.59	-0.02	1.29	1.13	0.61	8.065e-6	2.283e-5	(A) Negative
TMEM37	2q14.2	-0.41	-0.04	0.76	0.88	-0.38	8.085e-6	2.288e-5	(B) Positive
NDRG2	14q11.2	1.56	0.97	1.33	0.82	0.60	8.086e-6	2.288e-5	(A) Negative
PRORP	14q13.2	-0.04	0.15	0.41	0.37	-0.19	8.094e-6	2.290e-5	(B) Positive
TTC1	5q33.3	-0.26	-0.02	0.51	0.37	-0.23	8.121e-6	2.298e-5	(B) Positive
IFI30	19p13.11	1.65	1.27	0.79	0.82	0.38	8.126e-6	2.298e-5	(A) Negative
ZNF137P	19q13.41	0.13	0.36	0.49	0.44	-0.23	8.138e-6	2.301e-5	(B) Positive
SRSF3	6p21.31-p21.2	-0.17	-0.35	0.38	0.34	0.18	8.152e-6	2.305e-5	(A) Negative
RHEBL1	12q13.12	-0.74	-1.10	0.78	0.63	0.36	8.157e-6	2.306e-5	(A) Negative
MAP4K1	19q13.2	-0.09	-0.43	0.73	0.61	0.34	8.163e-6	2.307e-5	(A) Negative
PHC2	1p35.1	0.27	0.10	0.36	0.35	0.17	8.186e-6	2.314e-5	(A) Negative
QPCT	2p22.2	-2.15	-2.84	1.51	1.05	0.69	8.188e-6	2.314e-5	(A) Negative
RPL37	5p13.1	-0.18	-0.48	0.65	0.55	0.30	8.193e-6	2.315e-5	(A) Negative
TRA2B	3q27.2	-0.35	-0.57	0.46	0.39	0.22	8.202e-6	2.317e-5	(A) Negative
DDX20	1p13.2	-0.12	-0.31	0.40	0.37	0.19	8.224e-6	2.323e-5	(A) Negative
AOX1	2q33.1	-1.51	-1.05	0.94	0.98	-0.46	8.235e-6	2.326e-5	(B) Positive
ARRB2	17p13.2	0.12	-0.09	0.44	0.42	0.21	8.237e-6	2.326e-5	(A) Negative
MAP3K14	17q21.31	0.57	0.27	0.66	0.54	0.30	8.255e-6	2.330e-5	(A) Negative
ATOX1	5q33.1	-0.10	0.22	0.68	0.52	-0.31	8.294e-6	2.341e-5	(B) Positive
ACOT13	6p22.3	-0.42	-0.72	0.64	0.55	0.30	8.296e-6	2.341e-5	(A) Negative
MGST1	12p12.3	0.39	-0.17	1.09	1.43	0.56	8.297e-6	2.341e-5	(A) Negative
